"filename", "language", "JavaScript", "Markdown", "XML", "JSON", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\CalltoAction.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 2, 6, 56
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ClientAnalytics.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ClientLayout.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\DashboardComponents\DashboardSidebar.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 0, 22, 304
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\DashboardComponents\DashboardTabs.js", "JavaScript", 459, 0, 0, 0, 0, 0, 0, 18, 41, 518
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\DashboardComponents\DashboardTopbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 344, 0, 0, 6, 41, 391
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\DashboardComponents\WorldMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 346, 0, 0, 2, 29, 377
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\FAQs.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\FeatureShowcase.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 1, 21, 267
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Footer.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 2, 3, 94
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Modal.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Navbar.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 0, 19, 265
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\PostHogProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 2, 9, 50
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Pricing.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 2, 16, 246
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Realanalytics.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 5, 28, 327
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\SkeletonScreen\GenerateSkeleton.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\SkeletonScreen\dashboardSkeleton.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 8, 73
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\Testimonial.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 1, 11, 103
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\heroSection.js", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 4, 21, 214
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\modals\followModals.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 6, 14, 134
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\modals\userList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\ArticleCard.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 9, 65
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\FeatureCard.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\FooterColumn.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\JobItem.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\Reveal.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\StepWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 6, 16, 110
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\Components\ui\TestimonialCard.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\README.md", "Markdown", 0, 209, 0, 0, 0, 0, 0, 0, 40, 249
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\CTASection.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\HeroSection.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\MetricSection.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\StorySection.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 4, 58
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\TeamSection.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\ValueSection.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 1, 3, 52
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\About\page.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 2, 8, 49
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Blog\Newsletter.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 1, 9, 59
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Blog\page.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 2, 17, 163
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Contact\page.js", "JavaScript", 276, 0, 0, 0, 0, 0, 0, 5, 24, 305
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\Monetize\page.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 6, 28, 316
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\analytics\page.js", "JavaScript", 1565, 0, 0, 0, 0, 0, 0, 0, 93, 1658
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\bioPage\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 178, 0, 0, 11, 20, 209
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\community\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 7, 14, 206
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\editProfile\page.js", "JavaScript", 1342, 0, 0, 0, 0, 0, 0, 2, 92, 1436
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\features\Qrcode\Qrcode.js", "JavaScript", 283, 0, 0, 0, 0, 0, 0, 4, 29, 316
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\features\Qrcode\page.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\features\URLshorten\page.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 13, 81
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\features\URLshorten\shorten.js", "JavaScript", 320, 0, 0, 0, 0, 0, 0, 1, 34, 355
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\features\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 0, 4, 12, 111
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 1, 7, 34
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\messages\page.js", "JavaScript", 463, 0, 0, 0, 0, 0, 0, 0, 47, 510
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\mindset\page.js", "JavaScript", 964, 0, 0, 0, 0, 0, 0, 19, 103, 1086
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\page.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Dashboard\settings\page.js", "JavaScript", 301, 0, 0, 0, 0, 0, 0, 11, 30, 342
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Docu\page.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 13, 164
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Explorepeoples\page.js", "JavaScript", 763, 0, 0, 0, 0, 0, 0, 3, 97, 863
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Generate\GoalStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 2, 7, 67
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Generate\LinkStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 2, 6, 56
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Generate\PlatformStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 0, 2, 9, 89
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\Generate\ProfileStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 4, 12, 106
